tierId,tradeId,asset,side,notionalUsd,leverage,marginUsd,entryDate,exitDate,holdDays,spotAtEntry,spotAtExit,worstAdverseSpot,perpReturnPct,perpMaxAdverseReturnPct,rvolEntry,hedgeable,K_long,K_short,spreadWidth,protectedNotionalUsd,hedgeCostUsd,feePctOfNotional,perpPnlUsd,perpLiquidatedUnhedged,hedgePayoutAtMaxDrawdownUsd,hedgePayoutAtExitUsd,totalUserFeeUsd,netUserPnlUsd,drawdownReductionUsd,drawdownReductionPctOfMargin,liquidationPrevented,atticusNetMargin
single_premium_7d,T0001,ETH,long,25000,10,2500,2025-02-04,2025-02-05,1,2732.07,2788.3,2633.67,2.06,-3.6,0.72,YES,2677.43,2513.5,163.92,62500,1241.19,7.09,514.54,NO,1001.04,0,329.3,185.24,900.42,36.02,NO,98.79
day_rate_14d,T0001,ETH,long,25000,10,2500,2025-02-04,2025-02-05,1,2732.07,2788.3,2633.67,2.06,-3.6,0.72,YES,2677.43,2513.5,163.92,100000,2298.41,6.57,514.54,NO,1601.66,0,234.53,280.01,900.42,36.02,NO,-36.35
single_premium_7d,T0002,BTC,short,25000,10,2500,2025-12-13,2025-12-14,1,90255.32,88171.61,90657,2.31,-0.45,0.47,YES,92060.43,97475.75,5415.32,62500,907.91,5.19,577.17,NO,0,0,240.87,336.3,0,0,NO,72.26
day_rate_14d,T0002,BTC,short,25000,10,2500,2025-12-13,2025-12-14,1,90255.32,88171.61,90657,2.31,-0.45,0.47,YES,92060.43,97475.75,5415.32,100000,1768.56,5.05,577.17,NO,0,0,180.47,396.71,0,0,NO,-27.97
single_premium_7d,T0003,ETH,long,1000,10,100,2025-04-19,2025-04-26,7,1612.87,1821.6,1538.75,12.94,-4.6,0.88,YES,1580.61,1483.84,96.77,2500,54.97,7.85,129.42,NO,64.89,0,78.53,50.89,45.96,45.96,NO,23.56
day_rate_14d,T0003,ETH,long,1000,10,100,2025-04-19,2025-04-26,7,1612.87,1821.6,1538.75,12.94,-4.6,0.88,YES,1580.61,1483.84,96.77,4000,99.21,7.09,129.42,NO,103.82,0,70.86,58.55,45.96,45.96,NO,18.78
single_premium_7d,T0004,BTC,long,25000,3,8333.333333333334,2023-11-28,2023-12-01,3,37838.26,38703.54,36873.55,2.29,-2.55,0.44,YES,37081.49,34811.2,2270.3,62500,880.15,5.03,571.7,NO,343.48,0,574.79,-3.1,343.48,4.12,NO,172.44
day_rate_14d,T0004,BTC,long,25000,3,8333.333333333334,2023-11-28,2023-12-01,3,37838.26,38703.54,36873.55,2.29,-2.55,0.44,YES,37081.49,34811.2,2270.3,100000,1800.71,5.14,571.7,NO,549.56,0,551.24,20.46,549.56,6.59,NO,94.63
single_premium_7d,T0005,BTC,long,1000,20,50,2023-11-24,2023-11-27,3,37745.84,37241.63,36715.1,-1.34,-2.73,0.48,YES,36990.92,34726.17,2264.75,2500,37.44,5.35,-13.36,NO,18.27,0,24.45,-37.81,18.27,36.54,NO,7.34
day_rate_14d,T0005,BTC,long,1000,20,50,2023-11-24,2023-11-27,3,37745.84,37241.63,36715.1,-1.34,-2.73,0.48,YES,36990.92,34726.17,2264.75,4000,75.19,5.37,-13.36,NO,29.23,0,23.02,-36.38,27.31,54.61,NO,3.95
single_premium_7d,T0006,BTC,short,5000,20,250,2024-11-29,2024-11-30,1,97490.56,96465.42,98750,1.05,-1.29,0.62,YES,99440.37,105289.8,5849.43,12500,213.39,6.1,52.58,NO,0,0,56.61,-4.04,0,0,NO,16.98
day_rate_14d,T0006,BTC,short,5000,20,250,2024-11-29,2024-11-30,1,97490.56,96465.42,98750,1.05,-1.29,0.62,YES,99440.37,105289.8,5849.43,20000,389.73,5.57,52.58,NO,0,0,39.77,12.81,0,0,NO,-6.16
single_premium_7d,T0007,BTC,long,5000,10,500,2025-05-20,2025-05-21,1,106883.24,109699.54,104209.18,2.63,-2.5,0.37,YES,104745.58,98332.58,6412.99,12500,147.53,4.22,131.75,NO,62.73,0,39.14,92.61,62.73,12.55,NO,11.74
day_rate_14d,T0007,BTC,long,5000,10,500,2025-05-20,2025-05-21,1,106883.24,109699.54,104209.18,2.63,-2.5,0.37,YES,104745.58,98332.58,6412.99,20000,318.55,4.55,131.75,NO,100.37,0,32.51,99.24,100.37,20.07,NO,-5.04
single_premium_7d,T0008,BTC,long,10000,20,500,2024-04-28,2024-05-01,3,63108.94,58265.59,56500,-7.67,-10.47,0.51,YES,61846.76,58060.22,3786.54,25000,397.12,5.67,-500,YES,1500,1418.65,0,651.19,1047.23,100,YES,-241.13
day_rate_14d,T0008,BTC,long,10000,20,500,2024-04-28,2024-05-01,3,63108.94,58265.59,56500,-7.67,-10.47,0.51,YES,61846.76,58060.22,3786.54,40000,783.57,5.6,-500,YES,2400,2269.83,239.87,1262.51,1047.23,100,YES,-41.53
single_premium_7d,T0009,BTC,long,500,10,50,2025-06-30,2025-07-07,7,107173.21,108269.84,105119.7,1.02,-1.92,0.32,YES,105029.75,98599.35,6430.39,1250,12.17,3.48,5.12,NO,0,0,17.39,-12.27,0,0,NO,5.22
day_rate_14d,T0009,BTC,long,500,10,50,2025-06-30,2025-07-07,7,107173.21,108269.84,105119.7,1.02,-1.92,0.32,YES,105029.75,98599.35,6430.39,2000,27.86,3.98,5.12,NO,0,0,19.9,-14.79,0,0,NO,5.27
single_premium_7d,T0010,ETH,long,100000,10,10000,2024-02-29,2024-03-14,14,3341.78,3880.45,3205,16.12,-4.09,0.41,YES,3274.94,3074.44,200.51,250000,3220.21,4.6,16119.25,NO,5232.57,0,4600.3,11518.96,4093.03,40.93,NO,1380.09
day_rate_14d,T0010,ETH,long,100000,10,10000,2024-02-29,2024-03-14,14,3341.78,3880.45,3205,16.12,-4.09,0.41,YES,3274.94,3074.44,200.51,400000,6769.76,4.84,16119.25,NO,8372.11,0,9671.08,6448.17,4093.03,40.93,NO,2901.32
