name,handle_or_link,platform,category,why_valuable,suggested_approach,confidence
James Wynn,@JamesWynnReal,X,whale trader,Most famous HL whale; public wallet; $1B+ 40x positions; repeatedly liquidated — the living argument for a floor,Reply to his posts with floor math on his actual positions; DM the roast ask; he engages publicly,verified Aug 2026
The White Whale,@WhiteWhaleLabs,X,whale trader,Topped HL 30-day PnL leaderboard (~$50M); posts personal story; anti-contrarian style,DM template 6.2; his audience is exactly ours — protected conviction longs,verified
AguilaTrades,@AguilaTrades,X,whale trader,Lost ~$40M to cascading HL liquidations; "Public PnL = public target" cautionary tale; large following,Perfect case-study DM: "your June BTC long with a floor would have cost X and saved Y" — respectful not gloating,verified
smartestmoney.hl,@smartestmoney,X + Telegram,KOL / HL insider,"HL ""Chief Cultist"", top 0.5% crypto account, 109k followers, 13.9k-sub TG channel",Earn a reply-guy relationship first; then DM; a mention from this account fills the cohort,verified
Based16z,@based16z,X,trader / KOL,Listed on HL community wiki "top traders to follow",Reply-guy then DM,listed on HL wiki — re-verify handle
0xSisyphus,@0xSisyphus,X,trader / KOL,HL wiki top-traders list; large CT following,Reply-guy then DM,listed on HL wiki — re-verify handle
ThinkingUSD (Flood),@ThinkingUSD,X,trader / KOL,HL wiki top-traders list; early HL power user; opinionated on market structure,Engage on market-structure takes — options/collar content is his lane,listed on HL wiki — re-verify handle
PapiPNL,@PapiPNL,X,trader / KOL,HL wiki top-traders list,Reply-guy then DM,listed on HL wiki — re-verify handle
MB.hl,@MBxxvv,X,data KOL,22.6k followers; posts HL volume/liquidity analytics; HIP-3 coverage,Share the calibration/receipts data with him — data people amplify data,verified
HYPEconomist,@HYPEconomist,X,KOL,"HL fundamentalist," ecosystem yield coverage (NEST etc.) — Earn & Protect is a yield story,DM with the unit economics one-pager angle,verified
HypioHL,@HypioHL,X,community KOL,HL NFT/community account with engaged HL-native audience,Community-tone engagement; meme-literate,verified
NMTD.HL,@NMTD8,X,builder / influencer,18.3k followers; builds HyBridgeHL & Borsa_HL; "HL extremist",Builder-to-builder DM; may also route to partner intros,verified
Tobias Reisner,@reisnertobias,X / Telegram,researcher,HL wiki-listed research & analysis account,Send the margin-probe / calibration methodology — researchers cite honest data,listed on HL wiki — re-verify handle
HyperliquidNews,@HyperliquidNews,X / Telegram,news channel,Breaking HL news; aggregation reach,Submit launch as news with receipts; not a DM target,listed on HL wiki
bharvisampat,@bharvisampat,X,analyst,Regular HL/HyperEVM ecosystem analysis,Reply-guy then DM,from search synthesis — re-verify
Lookonchain,@lookonchain,X,whale-alert account,Identifies HL whale wallets and tags their X handles — a FEED of DM targets,Monitor daily; every tagged trader is a warm-context DM ("saw Lookonchain flag your position…"),verified
OnChainLens,@OnchainLens,X,whale-alert account,Same — tracks HL liquidations and whale moves,Monitor for targets; liquidation posts = protection-relevant moments,verified
Hyperliquid Discord,discord.com/invite/hyperliquid,Discord,community (official),THE hub: #general #community-research #api-trader; active around the clock,Post in #community-research as a question + receipts; never a bare ad; be present daily,verified
HypurrCollective,x.com/hypurr_co · t.me/hypurrco · t.me/+kQPx4WNpHEk4MmRl,X + Telegram,community,Independent HL ecosystem collective; 5.2k-member TG group of founders/builders/traders/power users,Join the TG group; introduce yourself as a builder; share the live app + ask for roasts,verified
HypurrFun,hypurr.fun (TG bot + gated whale chats),Telegram,community / bot,One of the most influential unofficial HL hubs; gated whale chats = concentrated targets,Use the bot; earn way into Hfun/whale chats; high-value once inside,verified via HL wiki
Hypurr's Friends,via HL wiki community map,Discord,community,Whale alerts + trader tooling community,Join and participate before posting,listed on HL wiki
Derteil Community,via HL wiki community map,Discord,community,HL builders + community hub,Builder intro post,listed on HL wiki
HL ecosystem wiki,hyperliquid-co.gitbook.io/wiki,web,resource,Community map: every group + "top traders to follow" list; submit projects here,Submit Earn & Protect to the ecosystem projects list,verified
Official HL leaderboard,app.hyperliquid.xyz/leaderboard,web,target source,Every top account by PnL/volume — addresses are public,Cross-reference addresses on trackers to find linked X handles; DM the identifiable ones,verified
LiquidWhales,liquidwhales.com,web,target source,S–F graded whale catalog net of fees; free to browse; per-wallet profiles,Mine S/A-grade wallets; many link social handles; also a partner target (their copy-traders want floors),verified
HyperStats,hyperstats.org,web,target source,Free whale tracker grading tens of thousands of wallets,Same mining loop,verified
HyperTracker,hypertracker.io,web,target source,Leaderboard + whale behavior classification,Same mining loop,verified
Buildix whale tracker,buildix.trade/whale-tracker,web,target source,Live whale positions/flips feed,Same; the live feed shows who is ACTIVE this week,verified
Beacon,beacontrade.io · t.me/beaconsignals,web + Telegram,target source,Trader profile pages (e.g. James Wynn) + whale-alert TG channel,Profiles often name traders; TG channel = live target feed,verified
Hyperdash,hyperdash.com,web,target source / builder app,HL terminal + educational content; tracks top traders by frontend,Mine + partner target (white-label pitch),verified
Hypurrscan,hypurrscan.io,web,target source,HL explorer — wallet nicknames sometimes reveal identities,Support tool for the mining loop,verified
Kaito HL Yapper leaderboard,kaito.ai (Hyperliquid board),web,target source,Ranks the most influential HL-related voices — literally a sorted KOL list,Work the top 30 as reply-guy targets; the board IS the DM list,from search synthesis — verify board name
pvp.trade,@pvptrade · pvp.trade,X + Telegram,builder app + its users,$7.2M builder revenue; social trading in TG groups — users are active HL traders in groups,Partner pitch (launch-plan row exists) AND join public groups where its traders talk,verified
Phantom (perps),@phantom,X,builder app,~$10M builder revenue in 6 months; HL perps inside the wallet — massive retail HL flow,Partner pitch via BD; their perp users are retail HL traders,verified
Insilico Terminal,@InsilicoTrading,X + Discord,builder app,Pro execution terminal for HL,Partner pitch + their Discord has serious traders,verified
based.app,based.app,web / X,builder app,Top-3 builder by revenue,Partner pitch,verified
Dexari,@dexari (verify),X,builder app,HL mobile app (launch plan target),Partner pitch already in playbook,in launch plan — re-verify handle
Lootbase,lootbase (verify handle),X,builder app,HL mobile frontend (launch plan target),Partner pitch already in playbook,in launch plan — re-verify handle
Axiom / Pear / Lit Trade / Senpi / FOMO / defi.app / Tread.fi / Moonbot,see openchainbench.com/benchmarks/hyperliquid-frontends,web / X,builder apps,104-frontend registry with builder addresses (mobula repo builders.json) — ranked by real revenue,Work top-20 by revenue as partner targets; their users = HL traders by definition,verified registry
GMX / perps Discords,discord (GMX etc.),Discord,adjacent communities,Perp traders not yet on HL — secondary audience,Low priority; only after HL channels are worked,verified
