tierId,tradeId,asset,side,notionalUsd,leverage,marginUsd,entryDate,exitDate,holdDays,spotAtEntry,spotAtExit,worstAdverseSpot,perpReturnPct,perpMaxAdverseReturnPct,rvolEntry,hedgeable,K_long,K_short,spreadWidth,protectedNotionalUsd,hedgeCostUsd,feePctOfNotional,perpPnlUsd,perpLiquidatedUnhedged,hedgePayoutAtMaxDrawdownUsd,hedgePayoutAtExitUsd,totalUserFeeUsd,netUserPnlUsd,drawdownReductionUsd,drawdownReductionPctOfMargin,liquidationPrevented,atticusNetMargin
single_premium_7d,T0001,BTC,long,10000,10,1000,2025-02-04,2025-02-05,1,97795.05,96638.33,96145.76,-1.18,-1.69,0.48,YES,95839.15,89971.45,5867.7,25000,379.67,5.42,-118.28,NO,0,0,100.73,-219.01,0,0,NO,30.22
day_rate_14d,T0001,BTC,long,10000,10,1000,2025-02-04,2025-02-05,1,97795.05,96638.33,96145.76,-1.18,-1.69,0.48,YES,95839.15,89971.45,5867.7,40000,759.27,5.42,-118.28,NO,0,0,77.48,-195.76,0,0,NO,-12.01
single_premium_7d,T0002,BTC,short,10000,10,1000,2025-12-13,2025-12-14,1,90255.32,88171.61,90657,2.31,-0.45,0.47,YES,92060.43,97475.75,5415.32,25000,363.16,5.19,230.87,NO,0,0,96.35,134.52,0,0,NO,28.9
day_rate_14d,T0002,BTC,short,10000,10,1000,2025-12-13,2025-12-14,1,90255.32,88171.61,90657,2.31,-0.45,0.47,YES,92060.43,97475.75,5415.32,40000,707.42,5.05,230.87,NO,0,0,72.19,158.68,0,0,NO,-11.19
single_premium_7d,T0003,ETH,long,500,10,50,2025-04-19,2025-04-26,7,1612.87,1821.6,1538.75,12.94,-4.6,0.88,YES,1580.61,1483.84,96.77,1250,27.48,7.85,64.71,NO,32.44,0,39.26,25.44,22.98,45.96,NO,11.78
day_rate_14d,T0003,ETH,long,500,10,50,2025-04-19,2025-04-26,7,1612.87,1821.6,1538.75,12.94,-4.6,0.88,YES,1580.61,1483.84,96.77,2000,49.61,7.09,64.71,NO,51.91,0,35.43,29.28,22.98,45.96,NO,9.39
single_premium_7d,T0004,BTC,long,10000,3,3333.3333333333335,2023-11-28,2023-12-01,3,37838.26,38703.54,36873.55,2.29,-2.55,0.44,YES,37081.49,34811.2,2270.3,25000,352.06,5.03,228.68,NO,137.39,0,229.92,-1.24,137.39,4.12,NO,68.98
day_rate_14d,T0004,BTC,long,10000,3,3333.3333333333335,2023-11-28,2023-12-01,3,37838.26,38703.54,36873.55,2.29,-2.55,0.44,YES,37081.49,34811.2,2270.3,40000,720.28,5.14,228.68,NO,219.82,0,220.5,8.18,219.82,6.59,NO,37.85
single_premium_7d,T0005,BTC,long,500,20,25,2023-11-24,2023-11-27,3,37745.84,37241.63,36715.1,-1.34,-2.73,0.48,YES,36990.92,34726.17,2264.75,1250,18.72,5.35,-6.68,NO,9.13,0,12.23,-18.91,9.13,36.54,NO,3.67
day_rate_14d,T0005,BTC,long,500,20,25,2023-11-24,2023-11-27,3,37745.84,37241.63,36715.1,-1.34,-2.73,0.48,YES,36990.92,34726.17,2264.75,2000,37.6,5.37,-6.68,NO,14.61,0,11.51,-18.19,13.65,54.61,NO,1.98
single_premium_7d,T0006,BTC,short,2500,20,125,2024-11-29,2024-12-02,3,97490.56,95862.89,98750,1.67,-1.29,0.62,YES,99440.37,105289.8,5849.43,6250,106.69,6.1,41.74,NO,0,0,69.68,-27.94,0,0,NO,20.9
day_rate_14d,T0006,BTC,short,2500,20,125,2024-11-29,2024-12-02,3,97490.56,95862.89,98750,1.67,-1.29,0.62,YES,99440.37,105289.8,5849.43,10000,194.87,5.57,41.74,NO,0,0,59.65,-17.91,0,0,NO,10.24
single_premium_7d,T0007,BTC,long,2500,10,250,2025-05-20,2025-05-21,1,106883.24,109699.54,104209.18,2.63,-2.5,0.37,YES,104745.58,98332.58,6412.99,6250,73.76,4.22,65.87,NO,31.37,0,19.57,46.3,31.37,12.55,NO,5.87
day_rate_14d,T0007,BTC,long,2500,10,250,2025-05-20,2025-05-21,1,106883.24,109699.54,104209.18,2.63,-2.5,0.37,YES,104745.58,98332.58,6412.99,10000,159.28,4.55,65.87,NO,50.19,0,16.25,49.62,50.19,20.07,NO,-2.52
single_premium_7d,T0008,BTC,long,5000,20,250,2024-04-28,2024-05-01,3,63108.94,58265.59,56500,-7.67,-10.47,0.51,YES,61846.76,58060.22,3786.54,12500,198.56,5.67,-250,YES,750,709.32,0,325.59,523.61,100,YES,-120.56
day_rate_14d,T0008,BTC,long,5000,20,250,2024-04-28,2024-05-01,3,63108.94,58265.59,56500,-7.67,-10.47,0.51,YES,61846.76,58060.22,3786.54,20000,391.79,5.6,-250,YES,1200,1134.92,119.93,631.25,523.61,100,YES,-20.77
single_premium_7d,T0009,BTC,long,500,10,50,2025-06-30,2025-07-07,7,107173.21,108269.84,105119.7,1.02,-1.92,0.32,YES,105029.75,98599.35,6430.39,1250,12.17,3.48,5.12,NO,0,0,17.39,-12.27,0,0,NO,5.22
day_rate_14d,T0009,BTC,long,500,10,50,2025-06-30,2025-07-07,7,107173.21,108269.84,105119.7,1.02,-1.92,0.32,YES,105029.75,98599.35,6430.39,2000,27.86,3.98,5.12,NO,0,0,19.9,-14.79,0,0,NO,5.27
